# time_in_ns	dG_in_kT
7.530	-8.125000
7.540	-8.125000
7.550	-8.203120
7.560	-8.203120
7.570	-8.203120
7.580	-8.203120
7.590	-8.203120
7.600	-8.515620
7.610	-8.671880
7.620	-8.906250
7.630	-8.906250
7.640	-8.984380
7.650	-8.984380
7.660	-8.984380
7.670	-8.984380
7.680	-8.984380
7.690	-8.984380
7.700	-8.984380
7.710	-8.984380
7.720	-8.984380
7.730	-8.984380
7.740	-8.984380
7.750	-8.984380
7.760	-8.984380
7.770	-8.984380
7.780	-8.984380
7.790	-8.984380
7.800	-8.984380
7.810	-8.984380
7.820	-8.984380
7.830	-8.984380
7.840	-8.984380
7.850	-8.984380
7.860	-8.984380
7.870	-8.984380
7.880	-8.984380
7.890	-8.984380
7.900	-8.984380
7.910	-8.984380
7.920	-8.984380
7.930	-8.984380
7.940	-8.906250
7.950	-8.359380
7.960	-8.359380
7.970	-8.359380
7.980	-8.359380
7.990	-8.359380
8.000	-8.359380
8.010	-8.359380
8.020	-7.890620
8.030	-7.812500
8.040	-7.812500
8.050	-7.812500
8.060	-7.734380
8.070	-7.343750
8.080	-6.953120
8.090	-6.562500
8.100	-6.093750
8.110	-6.093750
8.120	-6.093750
8.130	-6.093750
8.140	-6.093750
8.150	-6.093750
8.160	-6.093750
8.170	-6.093750
8.180	-6.093750
8.190	-6.093750
8.200	-5.703120
8.210	-5.390620
8.220	-5.390620
8.230	-5.156250
8.240	-4.921880
8.250	-4.921880
8.260	-4.921880
8.270	-4.921880
8.280	-4.921880
8.290	-4.687500
8.300	-4.609380
8.310	-4.375000
8.320	-4.062500
8.330	-3.984380
8.340	-3.906250
8.350	-3.906250
8.360	-3.906250
8.370	-3.906250
8.380	-3.906250
8.390	-3.906250
8.400	-3.906250
8.410	-3.906250
8.420	-3.906250
8.430	-3.906250
8.440	-3.593750
8.450	-3.437500
8.460	-3.437500
8.470	-3.437500
8.480	-3.437500
8.490	-3.437500
8.500	-3.437500
8.510	-3.437500
8.520	-3.437500
8.530	-3.437500
8.540	-3.437500
8.550	-3.437500
8.560	-3.437500
8.570	-3.437500
8.580	-3.437500
8.590	-3.437500
8.600	-3.437500
8.610	-3.437500
8.620	-3.437500
8.630	-3.437500
8.640	-3.437500
8.650	-3.437500
8.660	-3.437500
8.670	-3.437500
8.680	-3.437500
8.690	-3.437500
8.700	-3.437500
8.710	-3.437500
8.720	-3.437500
8.730	-3.437500
8.740	-3.437500
8.750	-3.437500
8.760	-3.437500
8.770	-3.437500
8.780	-3.437500
8.790	-3.437500
8.800	-3.437500
